frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,lane_event,map
15315,640.467,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15316,640.517,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15317,640.567,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15318,640.617,520.638,52.199,-0.005,0.353,0.037,-0.0000,0.300,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15319,640.667,520.638,52.199,-0.005,0.353,0.031,0.0000,0.700,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15320,640.717,520.642,52.199,-0.005,0.352,0.152,-0.1016,1.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15321,640.767,520.657,52.199,-0.005,0.350,0.394,0.0013,1.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15322,640.817,520.686,52.199,-0.005,0.351,0.737,0.1118,1.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15323,640.867,520.734,52.200,-0.005,0.352,1.131,-0.0230,1.000,0.000,0.000,0,1,0,-7,-0.023,1.727,1.773,,Town06
15324,640.917,520.802,52.200,-0.005,0.352,1.512,0.0307,1.000,0.000,0.000,0,1,0,-7,-0.023,1.727,1.773,,Town06
15325,640.967,520.889,52.201,-0.005,0.351,1.863,-0.0365,1.000,0.000,0.000,0,1,0,-7,-0.022,1.728,1.772,,Town06
15326,641.017,520.992,52.201,-0.005,0.352,2.195,0.0217,1.000,0.000,0.000,0,1,0,-7,-0.022,1.728,1.772,,Town06
15327,641.067,521.112,52.202,-0.006,0.352,2.511,-0.0074,1.000,0.000,0.000,0,1,0,-7,-0.021,1.729,1.771,,Town06
15328,641.117,521.246,52.203,-0.006,0.352,2.790,0.0027,0.000,0.000,0.000,0,1,0,-7,-0.020,1.730,1.770,,Town06
15329,641.167,521.392,52.204,-0.006,0.351,2.988,-0.0247,0.400,0.000,-0.000,0,1,0,-7,-0.019,1.731,1.769,,Town06
