actor_tag,actor_id,frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,map
hero,132,155348,6877.592,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155348,6877.592,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155349,6877.657,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155349,6877.657,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155350,6877.729,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155350,6877.729,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155351,6877.802,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155351,6877.802,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155352,6877.873,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155352,6877.873,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155353,6877.948,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155353,6877.948,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155354,6878.018,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155354,6878.018,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155355,6878.075,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155355,6878.075,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155356,6878.140,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155356,6878.140,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155357,6878.206,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155357,6878.206,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155358,6878.277,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155358,6878.277,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155359,6878.364,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155359,6878.364,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155360,6878.428,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155360,6878.428,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155361,6878.492,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155361,6878.492,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155362,6878.548,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155362,6878.548,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155363,6878.610,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155363,6878.610,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155364,6878.681,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155364,6878.681,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155365,6878.738,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155365,6878.738,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155366,6878.838,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155366,6878.838,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155367,6878.986,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155367,6878.986,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155368,6879.065,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155368,6879.065,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155369,6879.132,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155369,6879.132,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155370,6879.186,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155370,6879.186,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155371,6879.261,20.483,248.000,0.018,0.001,6.182,-0.0118,0.000,0.000,0.000,0,1,0,1,-0.027,1.723,1.777,Town06
npc,141,155371,6879.261,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155372,6879.323,20.857,248.000,0.017,0.001,5.868,-0.0009,0.000,0.000,0.000,0,1,0,1,-0.030,1.720,1.780,Town06
npc,141,155372,6879.323,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155373,6879.393,21.253,248.000,0.017,0.001,5.549,-0.0006,0.000,0.000,0.000,0,1,0,1,-0.032,1.718,1.782,Town06
npc,141,155373,6879.393,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155374,6879.459,21.612,248.000,0.017,0.001,5.363,-0.0006,0.000,0.000,0.000,0,1,0,1,-0.033,1.717,1.783,Town06
npc,141,155374,6879.459,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155375,6879.528,21.973,248.000,0.017,0.001,5.120,-0.0003,0.000,0.000,0.000,0,1,0,1,-0.033,1.717,1.783,Town06
npc,141,155375,6879.528,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155376,6879.595,22.308,248.000,0.017,0.001,4.987,-0.0006,0.000,0.000,0.000,0,1,0,1,-0.033,1.717,1.783,Town06
npc,141,155376,6879.595,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155377,6879.659,22.623,248.000,0.018,0.001,4.906,-0.0002,0.000,0.000,0.000,0,1,0,-6,-0.033,1.717,1.783,Town06
npc,141,155377,6879.659,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155378,6879.726,22.951,248.000,0.018,0.001,4.807,-0.0001,0.000,0.000,0.000,0,1,0,-6,-0.034,1.716,1.784,Town06
npc,141,155378,6879.726,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155379,6879.795,23.279,248.000,0.018,0.001,4.698,-0.0001,0.000,0.000,0.000,0,1,0,-6,-0.034,1.716,1.784,Town06
npc,141,155379,6879.795,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155380,6879.864,23.596,248.000,0.018,0.001,4.589,-0.0001,0.000,0.000,0.000,0,1,0,-6,-0.034,1.716,1.784,Town06
npc,141,155380,6879.864,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155381,6879.931,23.901,248.000,0.018,0.001,4.483,-0.0001,0.000,0.000,0.000,0,1,0,-6,-0.034,1.716,1.784,Town06
npc,141,155381,6879.931,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155382,6880.005,24.230,248.000,0.018,0.001,4.367,-0.0001,0.000,0.000,0.000,0,1,0,-6,-0.034,1.716,1.784,Town06
npc,141,155382,6880.005,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
